starttime	seconds	ctime	dtime	ttime	wait
Thu Nov 18 23:55:26 2021	1637250926	1	18	19	18
Thu Nov 18 23:55:26 2021	1637250926	0	19	19	18
Thu Nov 18 23:55:26 2021	1637250926	2	17	19	17
Thu Nov 18 23:55:26 2021	1637250926	0	19	19	18
Thu Nov 18 23:55:26 2021	1637250926	1	18	19	18
Thu Nov 18 23:55:26 2021	1637250926	2	17	19	17
Thu Nov 18 23:55:26 2021	1637250926	3	16	19	16
Thu Nov 18 23:55:26 2021	1637250926	1	18	19	18
Thu Nov 18 23:55:26 2021	1637250926	1	18	19	18
Thu Nov 18 23:55:26 2021	1637250926	1	18	19	18
Thu Nov 18 23:55:26 2021	1637250926	0	19	19	18
Thu Nov 18 23:55:26 2021	1637250926	0	19	19	19
Thu Nov 18 23:55:26 2021	1637250926	0	19	19	18
Thu Nov 18 23:55:26 2021	1637250926	0	19	19	19
Thu Nov 18 23:55:26 2021	1637250926	0	19	19	19
Thu Nov 18 23:55:26 2021	1637250926	0	19	19	19
Thu Nov 18 23:55:26 2021	1637250926	1	18	19	18
Thu Nov 18 23:55:26 2021	1637250926	0	19	19	19
Thu Nov 18 23:55:26 2021	1637250926	0	19	19	19
Thu Nov 18 23:55:26 2021	1637250926	2	17	19	17
Thu Nov 18 23:55:26 2021	1637250926	0	19	19	19
Thu Nov 18 23:55:26 2021	1637250926	0	19	19	19
Thu Nov 18 23:55:26 2021	1637250926	0	19	19	19
Thu Nov 18 23:55:26 2021	1637250926	0	19	19	19
Thu Nov 18 23:55:26 2021	1637250926	0	19	19	19
Thu Nov 18 23:55:26 2021	1637250926	0	19	20	19
Thu Nov 18 23:55:26 2021	1637250926	0	19	20	19
Thu Nov 18 23:55:26 2021	1637250926	0	19	20	19
Thu Nov 18 23:55:26 2021	1637250926	1	18	20	18
Thu Nov 18 23:55:26 2021	1637250926	0	20	20	19
Thu Nov 18 23:55:26 2021	1637250926	1	19	20	19
Thu Nov 18 23:55:26 2021	1637250926	0	19	20	19
Thu Nov 18 23:55:26 2021	1637250926	0	19	20	19
Thu Nov 18 23:55:26 2021	1637250926	0	20	20	19
Thu Nov 18 23:55:26 2021	1637250926	1	18	20	18
Thu Nov 18 23:55:26 2021	1637250926	0	19	20	19
Thu Nov 18 23:55:26 2021	1637250926	1	19	20	19
Thu Nov 18 23:55:26 2021	1637250926	0	20	20	19
Thu Nov 18 23:55:26 2021	1637250926	1	19	20	19
Thu Nov 18 23:55:26 2021	1637250926	0	20	20	20
Thu Nov 18 23:55:26 2021	1637250926	0	20	20	20
Thu Nov 18 23:55:26 2021	1637250926	1	19	20	19
Thu Nov 18 23:55:26 2021	1637250926	0	20	20	19
Thu Nov 18 23:55:26 2021	1637250926	1	19	20	19
Thu Nov 18 23:55:26 2021	1637250926	0	20	20	19
Thu Nov 18 23:55:26 2021	1637250926	2	18	20	18
Thu Nov 18 23:55:26 2021	1637250926	1	19	20	18
Thu Nov 18 23:55:26 2021	1637250926	0	20	20	19
Thu Nov 18 23:55:26 2021	1637250926	0	20	20	19
Thu Nov 18 23:55:26 2021	1637250926	1	19	20	19
Thu Nov 18 23:55:26 2021	1637250926	0	20	20	19
Thu Nov 18 23:55:26 2021	1637250926	1	20	20	20
Thu Nov 18 23:55:26 2021	1637250926	0	20	20	20
Thu Nov 18 23:55:26 2021	1637250926	0	20	20	20
Thu Nov 18 23:55:26 2021	1637250926	0	20	20	19
Thu Nov 18 23:55:26 2021	1637250926	0	20	20	20
Thu Nov 18 23:55:26 2021	1637250926	1	20	20	20
Thu Nov 18 23:55:26 2021	1637250926	0	20	20	20
Thu Nov 18 23:55:26 2021	1637250926	1	19	20	19
Thu Nov 18 23:55:26 2021	1637250926	3	18	21	18
Thu Nov 18 23:55:26 2021	1637250926	0	20	21	20
Thu Nov 18 23:55:26 2021	1637250926	0	20	21	20
Thu Nov 18 23:55:26 2021	1637250926	0	21	21	20
Thu Nov 18 23:55:26 2021	1637250926	0	20	21	20
Thu Nov 18 23:55:26 2021	1637250926	0	21	21	21
Thu Nov 18 23:55:26 2021	1637250926	0	20	21	20
Thu Nov 18 23:55:26 2021	1637250926	1	20	21	20
Thu Nov 18 23:55:26 2021	1637250926	1	20	21	20
Thu Nov 18 23:55:26 2021	1637250926	0	20	21	20
Thu Nov 18 23:55:26 2021	1637250926	1	20	21	20
Thu Nov 18 23:55:26 2021	1637250926	1	20	21	20
Thu Nov 18 23:55:26 2021	1637250926	2	19	21	19
Thu Nov 18 23:55:26 2021	1637250926	0	21	21	21
Thu Nov 18 23:55:26 2021	1637250926	0	21	21	21
Thu Nov 18 23:55:26 2021	1637250926	3	18	21	18
Thu Nov 18 23:55:26 2021	1637250926	1	20	21	20
Thu Nov 18 23:55:26 2021	1637250926	1	21	21	20
Thu Nov 18 23:55:26 2021	1637250926	0	21	21	21
Thu Nov 18 23:55:26 2021	1637250926	0	21	21	21
Thu Nov 18 23:55:26 2021	1637250926	1	20	21	20
Thu Nov 18 23:55:26 2021	1637250926	0	21	21	21
Thu Nov 18 23:55:26 2021	1637250926	1	20	21	20
Thu Nov 18 23:55:26 2021	1637250926	1	21	21	21
Thu Nov 18 23:55:26 2021	1637250926	1	20	21	20
Thu Nov 18 23:55:26 2021	1637250926	0	21	21	21
Thu Nov 18 23:55:26 2021	1637250926	0	21	21	19
Thu Nov 18 23:55:26 2021	1637250926	0	21	21	21
Thu Nov 18 23:55:26 2021	1637250926	0	21	21	21
Thu Nov 18 23:55:26 2021	1637250926	1	21	21	21
Thu Nov 18 23:55:26 2021	1637250926	1	21	22	21
Thu Nov 18 23:55:26 2021	1637250926	1	21	22	21
Thu Nov 18 23:55:26 2021	1637250926	1	21	22	21
Thu Nov 18 23:55:26 2021	1637250926	1	21	22	20
Thu Nov 18 23:55:26 2021	1637250926	1	21	22	20
Thu Nov 18 23:55:26 2021	1637250926	1	21	22	21
Thu Nov 18 23:55:26 2021	1637250926	1	21	22	21
Thu Nov 18 23:55:26 2021	1637250926	2	20	22	20
Thu Nov 18 23:55:26 2021	1637250926	1	20	22	20
Thu Nov 18 23:55:26 2021	1637250926	2	19	22	19
